381.9701485	peter 																						
name	time	cx	cy	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10
AL.ALS.3.25.22.#6.mp4	56	2228.686938	1215.683936	2158.298584	1477.020874	2203.131348	1422.510498	2237.864014	1360.695801	2268.693115	1296.646484	2287.171143	1228.113403	2302.290771	1158.683228	2296.015381	1089.121582	2247.516357	1040.34314	2176.956543	1033.202881	2108.932129	1050.501465
AL.ALS.3.25.22.#6.mp4	57	2245.110324	1245.346449	2207.665039	1492.817871	2192.528564	1425.86145	2218.04126	1362.52771	2251.1521	1302.199341	2287.277344	1243.622803	2304.852051	1177.482666	2298.298828	1110.214478	2254.85083	1057.790039	2191.326904	1035.601685	2122.754883	1040.628418
AL.ALS.3.25.22.#6.mp4	58	2267.154839	1306.773098	2278.752686	1577.726807	2262.47583	1509.630615	2234.072754	1443.306763	2232.268799	1371.069214	2251.848145	1302.18396	2289.124023	1240.305786	2303.924805	1170.032593	2298.515625	1099.252563	2253.410889	1047.449585	2187.918457	1016.932861
AL.ALS.3.25.22.#6.mp4	59	2255.613173	1329.88798	2213.588867	1607.346313	2235.179932	1539.40564	2239.831787	1468.089966	2235.973877	1396.581421	2249.70459	1327.007935	2269.866211	1258.19751	2295.809082	1191.398071	2297.75415	1121.401855	2262.810059	1059.56311	2203.71582	1022.856689
AL.ALS.3.25.22.#6.mp4	60	2256.98272	1328.503418	2245.18335	1611.295532	2228.532959	1540.994629	2231.969482	1469.03418	2239.145508	1397.225586	2251.453369	1326.055298	2276.156494	1258.293213	2289.080566	1187.212769	2290.600586	1115.104126	2260.722168	1051.31543	2195.817139	1020.88208
AL.ALS.3.25.22.#6.mp4	61	2259.766032	1320.351359	2249.132813	1605.371582	2233.268066	1533.972168	2231.36084	1460.817383	2238.645508	1388.667603	2259.369873	1318.483032	2280.453125	1248.42334	2294.765381	1176.833252	2296.355957	1103.667725	2254.542725	1046.926147	2187.918457	1018.907471
AL.ALS.3.25.22.#6.mp4	62	2247.466824	1289.718899	2221.487549	1546.132813	2189.855957	1479.735962	2180.082275	1407.430054	2196.127197	1336.016113	2236.946289	1275.98999	2294.806641	1230.38208	2331.559082	1169.740234	2318.391602	1101.012451	2257.944824	1061.030396	2187.918457	1038.653687
AL.ALS.3.25.22.#6.mp4	63	2244.515544	1314.66333	2231.36084	1569.828369	2206.043945	1504.094604	2188.104736	1436.717529	2192.281982	1367.511963	2220.093994	1303.754761	2266.465332	1250.613403	2311.544922	1196.458008	2314.658203	1127.829102	2270.085938	1075.162231	2205.69043	1046.552246
AL.ALS.3.25.22.#6.mp4	64	2248.875787	1316.779392	2237.284912	1571.802979	2207.224121	1507.733154	2188.389893	1440.178833	2199.306885	1370.57605	2226.302246	1306.565674	2275.384766	1256.122925	2313.250244	1196.97644	2317.995605	1126.886597	2274.743408	1074.171875	2211.614258	1042.603027
AL.ALS.3.25.22.#6.mp4	65	2234.397135	1331.039985	2211.614258	1601.422363	2192.498291	1529.712524	2175.213379	1456.855225	2174.961914	1382.135132	2202.118896	1314.723633	2255.187012	1261.671387	2309.133545	1210.290771	2317.856934	1139.001953	2270.98999	1083.546875	2207.665039	1044.577637
AL.ALS.3.25.22.#6.mp4	66	2232.662164	1339.601847	2195.817139	1603.396973	2199.051758	1532.706177	2186.353027	1463.251953	2184.781006	1393.479492	2197.754395	1324.379028	2241.506836	1269.117554	2289.046875	1216.669922	2319.001953	1154.97583	2280.646484	1098.439697	2225.437012	1054.450806
																							
																							
																							
																							
name	time	cx	cy	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10
