365.0333279	zander																						
name	time	cx	cy	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10
AL.ALS.3.25.22.#6.mp4	56	2232.544759	1188.846748	2101.459229	1055.909668	2170.790039	1031.303833	2243.592041	1041.027832	2297.010742	1086.494141	2304.578613	1157.912842	2284.535645	1229.332031	2266.280273	1301.371338	2233.874268	1368.074829	2190.781982	1428.194214	2152.51709	1491.721436
AL.ALS.3.25.22.#6.mp4	57	2235.53833	1198.781711	2116.403076	1048.438599	2183.898682	1028.028931	2250.130127	1051.198364	2292.518311	1107.559448	2311.824219	1177.493652	2281.486084	1243.523804	2253.061523	1310.381592	2221.516602	1375.965576	2209.006348	1446.445435	2211.046631	1519.115234
AL.ALS.3.25.22.#6.mp4	58	2262.458388	1311.47484	2277.670654	1605.032471	2267.989502	1527.854858	2241.562012	1454.890137	2218.842773	1381.43689	2243.476807	1307.698242	2278.205078	1238.13916	2299.026367	1163.093384	2296.679688	1086.123169	2238.672607	1039.005249	2168.083496	1006.1026
AL.ALS.3.25.22.#6.mp4	59	2243.56792	1292.792255	2167.460693	1001.744446	2237.998779	1038.788452	2283.463867	1094.124634	2294.324951	1172.854614	2268.169922	1243.83374	2253.664551	1319.582153	2241.914795	1398.383057	2240.360107	1477.688721	2240.388184	1554.099731	2207.93335	1626.822998
AL.ALS.3.25.22.#6.mp4	60	2258.175727	1318.768338	2256.500244	1629.313354	2233.192139	1552.242554	2229.947998	1471.55542	2236.567383	1391.578125	2251.330078	1312.186768	2278.764893	1236.252441	2300.660645	1158.715942	2298.360596	1079.588501	2238.257568	1037.481934	2164.970215	1003.612244
AL.ALS.3.25.22.#6.mp4	61	2251.433892	1310.59569	2230.348877	1611.880981	2226.559326	1534.417358	2226.677979	1456.95166	2230.563477	1379.512695	2251.510986	1304.838745	2283.092041	1234.523438	2295.213135	1159.348633	2284.788574	1084.375732	2234.150635	1029.511963	2162.479492	999.876709
AL.ALS.3.25.22.#6.mp4	62	2241.7854	1303.08705	2230.971436	1572.657837	2197.821777	1504.095093	2186.027344	1430.76001	2189.866455	1355.334351	2227.262695	1290.061157	2282.432129	1238.730835	2314.20874	1171.186768	2304.769043	1101.575195	2242.708984	1063.382202	2173.687256	1031.628662
AL.ALS.3.25.22.#6.mp4	63	2243.901394	1312.129245	2240.311279	1589.467773	2206.09375	1519.899048	2191.720703	1444.055298	2191.269775	1366.528198	2220.098145	1297.810791	2274.885498	1243.901733	2314.97168	1179.87561	2307.40332	1106.340454	2248.358398	1061.284302	2178.668457	1028.515747
AL.ALS.3.25.22.#6.mp4	64	2237.798747	1254.153008	2184.272461	1029.760986	2255.825195	1063.7146	2313.126709	1104.805908	2314.601563	1183.877808	2265.783447	1243.264282	2216.35791	1302.120605	2188.008301	1375.235962	2191.463379	1453.949951	2210.749756	1530.646973	2247.783203	1598.18396
AL.ALS.3.25.22.#6.mp4	65	2238.29872	1331.225301	2218.518311	1628.690796	2206.249756	1549.288574	2190.564453	1470.487915	2188.776367	1391.983154	2209.972412	1314.522461	2250.884521	1251.155884	2304.634033	1193.664185	2315.029785	1116.549316	2260.058838	1064.685425	2188.631104	1027.893188
